"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610009B22Rik",103.102718614749,0.321613124509747,0.214209389295443,1.50139601988301,0.133253162733079,0.357155002516631
"0610010F05Rik",364.9511101409,0.209273294099594,0.109635385194279,1.90881159151995,0.0562864009994749,0.212429220313866
"0610010K14Rik",239.496212909737,0.120044591673837,0.121965917321662,0.984247028268088,0.324994067854027,0.579576306187418
"0610012G03Rik",167.01702068774,-0.0593964379443837,0.158073833692831,-0.375751233185139,0.707101845622886,0.856362049235543
"0610030E20Rik",339.483411096444,0.0211079782038278,0.108665049781988,0.19424808847165,0.84598163073641,0.931086883526183
"0610037L13Rik",139.72271669,0.125049779427888,0.172311125399277,0.725720867634776,0.468009906466629,0.702040673815027
"1110004F10Rik",867.681649353324,-0.0179364335935997,0.0773916562948796,-0.231761852017456,0.816722988032117,0.916417246398205
"1110008L16Rik",175.635518870888,0.173883906068639,0.149747338222422,1.16118194909326,0.245567913920664,0.503919203889235
"1110008P14Rik",89.422355662579,0.113259464068271,0.203917975835912,0.555416772866598,0.578609622629938,0.7782328040081
"1110012L19Rik",34.4458936699673,0.109545685677091,0.345179993571251,0.317358154346448,0.750971855280634,0.881441037762269
"1110032A03Rik",17.5623791568583,1.29142176663823,0.512710698429693,2.51881181842614,0.0117751570006454,0.0750321391259496
"1110038F14Rik",117.325536083585,-0.179476053481811,0.197296692559374,-0.90967593604135,0.362993438564211,0.615476678154119
"1110051M20Rik",47.3069424938045,-0.0561304288545621,0.299681733268459,-0.187300134186957,0.851425317782357,0.933754620628021
"1110059E24Rik",200.252109297025,-0.0844221776469716,0.144809161534606,-0.582989202839882,0.559900568727387,0.764509079574307
"1110059G10Rik",98.4087559491607,-0.00543835511807023,0.191810316542863,-0.0283527769313438,0.977380787593114,0.99088961712181
"1110065P20Rik",23.7289397202242,-0.591191472127886,0.430034019203208,-1.37475512570675,0.16920737452196,0.408900280566841
"1190002N15Rik",299.393455877026,0.210472113348334,0.116361338081893,1.80878044905438,0.0704851188274321,0.244753995356338
"1190007I07Rik",39.7309433966543,-0.20318853420275,0.308418953282784,-0.658806898992521,0.510019776547782,0.731604180335075
"1300017J02Rik",8.56493834403643,0.79312127161145,0.898253186545011,0.88295959701748,0.377258101520874,0.629751493307249
"1500011B03Rik",77.1812610150095,-0.123321161279822,0.244278443001293,-0.504838493993387,0.613672276567082,0.801220894552009
"1520401A03Rik",8.35292003586934,2.26211866454198,0.856797613703038,2.64020187307154,0.00828566560623966,0.0583774512505942
"1600002K03Rik",39.795589625994,-0.15848823348586,0.303687076371987,-0.521880072669696,0.601753833698701,0.7942776772117
"1600012H06Rik",152.965653601731,0.30717496455199,0.172135646120928,1.78449363321409,0.0743434884490513,0.252163321509154
"1600014C10Rik",214.784242489747,-0.403387950526092,0.13956204655388,-2.89038431641484,0.00384771117595502,0.0324573055649109
"1700001K19Rik",4.54123752992882,0.492569957207806,1.06238018915611,0.46364753619801,0.64290029085269,0.818927693829044
"1700003F12Rik",4.81923327653339,0.686165340647488,1.29832672960515,0.528499741244767,0.597152526621024,0.791285551828364
"1700010I14Rik",9.9425578781865,1.66098425222252,0.828940120976723,2.00374455306303,0.0450974310731302,0.184709297509766
"1700014D04Rik",4.19627977018513,0.100400109553714,1.42067806941312,0.0706705563458084,0.943659954859976,0.977250575669239
"1700017B05Rik",1082.31392912453,-0.200734245496444,0.0719322195134983,-2.79060269311968,0.00526100078690569,0.0412494057518462
"1700021F05Rik",119.512554723161,0.105859991956016,0.195091421094209,0.542617360426608,0.587393283495639,0.784938975869169
"1700022I11Rik",5.79753315515132,1.08643931360534,1.11214829255871,0.97688349734888,0.328626832632144,0.583041027067262
"1700025G04Rik",396.199438075789,-0.0169834585483522,0.101698475955535,-0.166998161858175,0.867371495240552,0.938680269978593
"1700028J19Rik",7.56820270440294,0.697272083295001,0.800687026333809,0.870842239679685,0.3838402982495,0.634109663645044
"1700029J07Rik",9.15067311064653,0.596379122729812,0.756923374166973,0.787898938100774,0.430755822359294,0.672647872352053
"1700030J22Rik",7.88573243864313,-0.271794564244548,0.792038060674721,-0.343158463891257,0.731479250503942,0.870865697992914
"1700030K09Rik",89.129342731576,0.0920473052025382,0.227841592175207,0.403996936308955,0.686214972083955,0.844859140223817
"1700034J05Rik",6.27140207923543,-0.356436822573336,0.921551975683282,-0.386778859986771,0.698919928824229,0.852063223251916
"1700037C18Rik",28.8800153518178,0.170457074849536,0.41980640393038,0.406037338291305,0.684715165883289,0.8438345305836
"1700037H04Rik",201.716906884156,-0.0785020080781424,0.142774238455633,-0.549833141659775,0.582433824912678,0.781289844250034
"1700047I17Rik2",13.4367730313659,0.177569754521942,0.609330887688874,0.291417615797297,0.770731943465903,0.891040041425722
"1700061G19Rik",9.66790889935939,-0.173865361611847,0.689278859384413,-0.252242411390833,0.80085369809821,0.90772764747349
"1700066B19Rik",8.47042590099178,1.31737010228474,0.836523419986686,1.5748155650032,0.115299022585532,0.328686815328734
"1700066M21Rik",85.2477643832711,0.546575179361497,0.205035155705984,2.66576323206385,0.00768137701208186,0.0552945286449387
"1700067K01Rik",8.1245695475669,1.16126550382374,0.778771255375078,1.49115095839592,0.135921865959391,0.360639923720211
"1700102P08Rik",7.71252595331485,1.39469081837198,0.915400012116981,1.52358619173117,0.127612114680831,0.34823791600039
"1700109H08Rik",9.58989743153005,-0.297616987342344,0.682524234960367,-0.436053362060654,0.662798013722366,0.831049090880288
"1700123O20Rik",169.915151776945,-0.121682368527032,0.147465092747383,-0.825160492290073,0.40928047994034,0.656528956733366
"1810013L24Rik",386.135810090157,0.169687879591537,0.0990541468655523,1.713082036049,0.0866974483795345,0.277080043510901
"1810022K09Rik",216.986577337744,0.148333854518126,0.139685627641179,1.06191207372574,0.28827560337952,0.546413668072861
"1810030O07Rik",337.924317674393,-0.202937065283665,0.107553207245175,-1.88685275392166,0.0591801333011065,0.218974544932911
"1810032O08Rik",56.9381331521092,-0.0951412066981572,0.267950956546177,-0.355069479596208,0.722537540600286,0.865187167760012
"1810037I17Rik",276.680149298507,-0.0784462691659701,0.121767727714615,-0.644228734807496,0.519427120197195,0.737296421777028
"1810043G02Rik",52.617131113015,-0.0900097404395825,0.281065577663556,-0.320244624716468,0.748782897343166,0.880410708004529
"1810055G02Rik",208.523705389021,-0.357914868129456,0.157788286308387,-2.26832343834406,0.023309500376535,0.119698861827841
"2010111I01Rik",373.792776513566,-0.441504474482612,0.102255720049148,-4.31765063382674,0.0000157698781597595,0.000324907277600621
"2010300C02Rik",5.26250054669454,0.810263529864019,1.04732897837107,0.773647580270561,0.439139226809759,0.678570692496163
"2010315B03Rik",46.1980458537461,0.060728931251382,0.326739163042094,0.185863643298732,0.852551693805749,0.934015302317964
"2210016F16Rik",456.946026349603,0.0528866909153477,0.090737728985062,0.582852265611082,0.559992757006005,0.764536296161412
"2210016L21Rik",180.768806981219,-0.150187581313138,0.145056127361638,-1.03537564420638,0.300493515566307,0.558176059549398
"2210408I21Rik",29.1543490536143,-0.187072552169815,0.371615700663965,-0.503403251895904,0.614680785766344,0.801844716505252
"2210418O10Rik",13.5644595253147,0.528273439523535,0.603622520387743,0.875171852740342,0.381480405941501,0.632606165852748
"2300009A05Rik",57.1794690872496,-0.172762540011751,0.264232501603485,-0.65382774247433,0.513222790893353,0.734240510363543
"2310009B15Rik",56.3403295340406,0.22069809751174,0.271365930871799,0.813285944933169,0.416054133470475,0.661318203185973
"2310011J03Rik",266.775845336851,-0.075936782444633,0.118479033398962,-0.640930131400773,0.521568078183621,0.738241149905369
"2310022A10Rik",535.422024048503,-0.210975640951519,0.0938122498812439,-2.24891356106043,0.0245179960463295,0.124077301912165
"2310022B05Rik",91.680150610288,-0.554888665051948,0.211055718683053,-2.62910983182235,0.00856087066832584,0.0596592705049075
"2310033P09Rik",208.009634010176,-0.0406900361504321,0.147197110109339,-0.276432303054097,0.782216048687644,0.897222592159813
"2310034G01Rik",10.1784148042979,1.39884685647195,0.719600947399201,1.94392025403481,0.0519050684067082,0.20305095517676
