#OTU ID	normal_4	model_2	normal_2	normal_3	normal_5	betaine_1	betaine_2	betaine_3	betaine_5	model_1	model_3	model_4	model_5	betaine_4	normal_1	Taxonomy
OTU3251	70.0	29.0	10.0	4.0	1.0	1.0	0.0	2.0	22.0	7.0	0.0	0.0	0.0	5.0	3.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3252	98.0	17.0	13.0	6.0	29.0	41.0	24.0	21.0	68.0	29.0	12.0	19.0	5.0	22.0	21.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU3255	290.0	3.0	44.0	18.0	1.0	6.0	63.0	36.0	0.0	3.0	7.0	43.0	25.0	0.0	1.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia
OTU3256	195.0	22.0	5.0	25.0	1.0	23.0	40.0	48.0	16.0	88.0	27.0	8.0	8.0	85.0	4.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus
OTU3258	22.0	1.0	0.0	0.0	0.0	7.0	1.0	3.0	2.0	6.0	5.0	0.0	3.0	9.0	5.0	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum
OTU3259	21.0	4.0	1.0	0.0	3.0	10.0	0.0	2.0	1.0	7.0	9.0	0.0	2.0	7.0	16.0	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum
OTU326	1.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3261	40.0	0.0	8.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes
OTU3262	559.0	150.0	17.0	44.0	12.0	59.0	75.0	46.0	3.0	133.0	108.0	8.0	27.0	5.0	68.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVb
OTU3264	359.0	15.0	101.0	117.0	77.0	162.0	346.0	121.0	71.0	107.0	44.0	94.0	48.0	293.0	34.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella
OTU3265	23.0	4.0	4.0	0.0	24.0	6.0	1.0	5.0	1.0	7.0	0.0	1.0	2.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU3268	2.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3269	51.0	1.0	11.0	1.0	3.0	0.0	0.0	17.0	0.0	6.0	0.0	0.0	1.0	0.0	2.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU327	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3270	15.0	5.0	2.0	1.0	5.0	1.0	0.0	7.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU3271	12.0	41.0	4.0	3.0	1.0	24.0	9.0	9.0	0.0	3.0	8.0	8.0	5.0	6.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3272	4.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3273	33.0	4.0	1.0	0.0	0.0	12.0	3.0	10.0	2.0	5.0	18.0	0.0	1.0	18.0	16.0	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum
OTU3274	82.0	0.0	21.0	0.0	37.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	55.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes
OTU3275	198.0	0.0	67.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
OTU3278	3.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3279	27.0	2.0	1.0	0.0	0.0	11.0	0.0	4.0	2.0	2.0	4.0	0.0	3.0	9.0	6.0	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum
OTU328	0.0	99.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3280	1.0	0.0	3.0	0.0	47.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	18.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3281	12.0	0.0	3.0	0.0	96.0	2.0	1.0	0.0	1.0	11.0	3.0	3.0	1.0	0.0	11.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia
OTU3282	0.0	0.0	0.0	0.0	14.0	0.0	1.0	0.0	0.0	0.0	26.0	6.0	7.0	0.0	8.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVb
OTU3286	0.0	0.0	0.0	0.0	4.0	36.0	3.0	0.0	0.0	0.0	10.0	1.0	1.0	0.0	0.0	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum
OTU3287	0.0	0.0	39.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma
OTU329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	58.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
