#OTU ID	M_GC0911_1	M_GC0912_1	M_FB0913_1	M_FB0914_1	M_BC0915_1	M_FB0915_1	M_BC0917_1	M_FB0917_1	M_BC0918_Y1	M_FB0918_Y1	M_BC0919_Y1	M_FB0919_Y1	M_FB0920_Y1	M_FB0921_Y1	M_FB0922_Y1	M_FB0923_Y1	M_FB0926_Y1	M_FB0927_Y1	Z_FB1001_1	Z_FB1002_1	Z_FB1003_1	Z_FB1005_1	Z_FB1007_1	Z_FB1008_1	Z_GC1009_Y1	Z_FB1010_Y1	Z_FB1011_Y1	Z_FB1013_Y1	Z_FB1014_Y1	D_FB1003_1	D_FB1005_1	D_FB1006_1	D_FB1007_1	D_FB1009_1	D_FB1010_Y1	D_FB1011_Y1	D_FB1013_Y1	D_FB1014_Y1	D_FB1015_Y1	D_FB1016_Y1	D_FB1018_Y1	M_GC0911_2	M_GC0912_2	M_FB0913_2	M_FB0914_2	M_BC0915_2	M_FB0915_2	M_BC0917_2	M_FB0917_2	M_BC0918_Y2	M_FB0918_Y2	M_BC0919_Y2	M_FB0919_Y2	M_FB0920_Y2	M_FB0921_Y2	M_FB0922_Y2	M_FB0923_Y2	M_FB0926_Y2	M_FB0927_Y2	Z_FB1001_2	Z_FB1002_2	Z_FB1003_2	Z_FB1005_2	Z_FB1007_2	Z_FB1008_2	Z_GC1009_Y2	Z_FB1010_Y2	Z_FB1011_Y2	Z_FB1013_Y2	Z_FB1014_Y2	D_FB1003_2	D_FB1005_2	D_FB1006_2	D_FB1007_2	D_FB1009_2	D_FB1010_Y2	D_FB1011_Y2	D_FB1013_Y2	D_FB1014_Y2	D_FB1015_Y2	D_FB1016_Y2	D_FB1018_Y2	M_GC0911_3	M_GC0912_3	M_FB0913_3	M_FB0914_3	M_BC0915_3	M_FB0915_3	M_BC0917_3	M_FB0917_3	M_BC0918_Y3	M_FB0918_Y3	M_BC0919_Y3	M_FB0919_Y3	M_FB0920_Y3	M_FB0921_Y3	M_FB0922_Y3	M_FB0923_Y3	M_FB0926_Y3	M_FB0927_Y3	Z_FB1001_3	Z_FB1002_3	Z_FB1003_3	Z_FB1005_3	Z_FB1007_3	Z_FB1008_3	Z_GC1009_Y3	Z_FB1010_Y3	Z_FB1011_Y3	Z_FB1013_Y3	Z_FB1014_Y3	D_FB1003_3	D_FB1005_3	D_FB1006_3	D_FB1007_3	D_FB1009_3	D_FB1010_Y3	D_FB1011_Y3	D_FB1013_Y3	D_FB1014_Y3	D_FB1015_Y3	D_FB1016_Y3	D_FB1018_Y3	taxonomy
OTU424	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales_incertae_sedis; g__Phocaeicola
OTU425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Solobacterium
OTU427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Odoribacter
OTU429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	1.0	3.0	0.0	0.0	0.0	0.0	88.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	24.0	4.0	5.0	3.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	20.0	5.0	3.0	2.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Butyricimonas
OTU432	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	194.0	87.0	29.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	109.0	206.0	74.0	27.0	0.0	0.0	0.0	114.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	106.0	202.0	77.0	29.0	0.0	0.0	0.0	101.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Butyricimonas
OTU433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	2.0	6.0	5.0	3.0	5.0	0.0	6.0	1.0	2.0	1.0	3.0	4.0	5.0	2.0	0.0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales
OTU434	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0	28.0	1.0	2.0	0.0	0.0	0.0	0.0	14.0	0.0	1.0	18.0	40.0	271.0	170.0	51.0	0.0	4.0	3.0	6.0	1.0	14.0	40.0	1.0	1.0	4.0	7.0	1.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	17.0	37.0	299.0	147.0	49.0	2.0	2.0	1.0	6.0	3.0	14.0	31.0	2.0	1.0	4.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	3.0	19.0	48.0	343.0	136.0	37.0	0.0	4.0	0.0	4.0	1.0	11.0	37.0	1.0	1.0	2.0	4.0	0.0	1.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces
OTU435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	2.0	2.0	1.0	3.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	1.0	3.0	4.0	1.0	2.0	0.0	5.0	1.0	5.0	3.0	1.0	5.0	4.0	5.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
OTU436	4.0	11.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	20.0	1422.0	45.0	2.0	3.0	3.0	1.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	995.0	33.0	2.0	1.0	2.0	0.0	2.0	0.0	0.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	15.0	1272.0	42.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	2.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium
OTU437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	2.0	2178.0	5216.0	250.0	818.0	475.0	129.0	41.0	0.0	907.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	2610.0	5636.0	199.0	606.0	473.0	163.0	43.0	2.0	884.0	7.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	2.0	1.0	0.0	1.0	738.0	2308.0	53.0	168.0	440.0	143.0	27.0	0.0	889.0	5.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia
