OTU ID	normal_1	normal_2	normal_3	normal_4	normal_5	betaine_1	betaine_2	betaine_3	betaine_4	betaine_5	model_1	model_2	model_3	model_4	model_5	Taxonomy
OTU7	0.0	138.0	729.0	59.0	26.0	2208.0	350.0	419.0	3344.0	745.0	27.0	78.0	211.0	136.0	180.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides
OTU115	875.0	284.0	143.0	5.0	529.0	52.0	114.0	42.0	89.0	4.0	73.0	395.0	20.0	37.0	62.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU97	1650.0	394.0	150.0	281.0	2058.0	57.0	75.0	59.0	89.0	39.0	1141.0	18.0	3055.0	1690.0	1148.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU50	260.0	127.0	0.0	18.0	420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella
OTU29	1274.0	1078.0	1886.0	566.0	1238.0	7.0	71.0	168.0	2.0	405.0	895.0	872.0	1094.0	1013.0	1133.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes
OTU82	1.0	256.0	246.0	2999.0	114.0	406.0	1547.0	1211.0	763.0	7420.0	508.0	572.0	1367.0	666.0	737.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU43	847.0	1091.0	0.0	950.0	1132.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae
OTU54	0.0	11.0	3.0	580.0	3.0	4.0	4.0	1.0	1.0	2.0	4.0	11456.0	3.0	2.0	1.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU18	412.0	2082.0	875.0	183.0	867.0	723.0	488.0	545.0	520.0	312.0	192.0	235.0	231.0	441.0	522.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
OTU95	1.0	397.0	359.0	509.0	8.0	1574.0	88.0	11.0	253.0	20.0	375.0	9.0	741.0	149.0	564.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU131	0.0	225.0	4.0	76.0	0.0	94.0	8.0	7.0	70.0	89.0	529.0	167.0	220.0	267.0	23.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU83	1227.0	239.0	7.0	1235.0	1989.0	263.0	196.0	418.0	3.0	3.0	237.0	45.0	101.0	87.0	55.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU120	3645.0	9.0	0.0	246.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter
OTU56	0.0	197.0	32.0	16.0	0.0	25.0	26.0	40.0	21.0	8.0	1141.0	4.0	16.0	21.0	15.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
